"Country","ISO3","Specie","Breed/Most common name","Year","dna samples","dna donors total","dna donors males","dna donors females","embryos samples","embryos donors total","embryos donors males","embryos donors females","somatic cells samples","somatic cells donors total","somatic cells donors males","somatic cells donors females","semen samples","semen donors males","oocytes samples","oocytes donors females","sufficient","organisation","collected by","Geographical classification","Last update"
"Brazil","BRA","Pig","Meishan","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","10/11/2022"
"Brazil","BRA","Pig","Monteiro","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","10/11/2022"
"Brazil","BRA","Pig","Monteiro","2023","11287","257","103","150","0","0","0","0","0","0","0","0","0","0","0","0","","(Embrapa CENARGEN) Embrapa Genetic Resources and Biotechnology ","Animal GRIN","Local","31/1/2024"
"Brazil","BRA","Pig","Moura","2019","14777","135","","","","","","","","","","","535","14","","","","(Embrapa CENARGEN) Embrapa Genetic Resources and Biotechnology ","Multiples stakeholders","Local",""
"Brazil","BRA","Pig","Moura","2021","14754","135","11","29","","","","","","","","","535","14","","","","(Embrapa CENARGEN) Embrapa Genetic Resources and Biotechnology ","Animal GRIN","Local","31/1/2022"
"Brazil","BRA","Pig","Moura","2023","15302","149","23","31","","","","","","","","","535","14","","","","(Embrapa CENARGEN) Embrapa Genetic Resources and Biotechnology ","Animal GRIN","Local","31/1/2024"
"Brazil","BRA","Pig","Nilo","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","10/11/2022"
"Brazil","BRA","Pig","Nilo","2023","722","24","4","8","0","0","0","0","0","0","0","0","0","0","0","0","","(Embrapa CENARGEN) Embrapa Genetic Resources and Biotechnology ","Animal GRIN","Local","31/1/2024"
"Brazil","BRA","Pig","Piau","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","10/11/2022"
"Brazil","BRA","Pig","Piau","2023","2045","52","13","24","0","0","0","0","0","0","0","0","0","0","0","0","","(Embrapa CENARGEN) Embrapa Genetic Resources and Biotechnology ","Animal GRIN","Local","31/1/2024"
"Brazil","BRA","Pig","Pietrain","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","10/11/2022"
"Brazil","BRA","Pig","Pirapitinga","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","10/11/2022"
"Brazil","BRA","Pig","Poland China","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","10/11/2022"
"Brazil","BRA","Pig","Sorocaba","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","10/11/2022"
"Brazil","BRA","Pig","Tamworth","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","10/11/2022"
"Brazil","BRA","Pig","Tatú","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","10/11/2022"
"Brazil","BRA","Pig","Wessex","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","10/11/2022"
"Barbados","BRB","Pig","Cambora","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Barbados","BRB","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Barbados","BRB","Pig","Landrace","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Barbados","BRB","Pig","Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Barbados","BRB","Pig","PIC","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Barbados","BRB","Pig","Yorkshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Bhutan","BTN","Pig","Doemphab","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Bhutan","BTN","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Bhutan","BTN","Pig","Hampshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Bhutan","BTN","Pig","Jersey","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Bhutan","BTN","Pig","Jituphab","2019","","","","","0","0","0","0","0","0","0","0","110","2","0","0","","","AnGR Program National Biodiversity Center","Local","16-Sept-2020"
"Bhutan","BTN","Pig","Large Black","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Bhutan","BTN","Pig","Saddleback","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Bhutan","BTN","Pig","Yorkshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Botswana","BWA","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Botswana","BWA","Pig","Landrace","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Botswana","BWA","Pig","Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Botswana","BWA","Pig","Tswana","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Botswana","BWA","Pig","Warthogs","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Switzerland","CHE","Pig","Schwalbenbauch Mangalitza","2020","","","","","","","","","","","","","","","","","","","","Regional",""
"Switzerland","CHE","Pig","Schweizer Duroc","2020","","","","","","","","","","","","","1601","16","","","","","","Local","26/8/2022"
"Switzerland","CHE","Pig","Schweizer Edelschwein","2014","","","","","","","","","","","","","","","","","","Suisseporcs Schweizerischer Schweinezucht- und Schweineproduzentenverband","","International",""
"Switzerland","CHE","Pig","Schweizer Edelschwein","2015","","","","","","","","","","","","","1841","61","","","","","","International",""
"Switzerland","CHE","Pig","Schweizer Edelschwein","2020","","","","","","","","","","","","","11184","124","","","","","","International","26/8/2022"
"Switzerland","CHE","Pig","Schweizer Edelschwein Vaterlinie","2014","","","","","","","","","","","","","1931","64","","","","Suisag","Suisag","Local",""
"Switzerland","CHE","Pig","Schweizer Edelschwein Vaterlinie","2015","","","","","","","","","","","","","2011","67","","","","","","Local",""
"Switzerland","CHE","Pig","Schweizer Edelschwein Vaterlinie","2020","","","","","","","","","","","","","12363","117","","","","","","Local","26/8/2022"
"Switzerland","CHE","Pig","Schweizer Landrasse","2020","","","","","","","","","","","","","2018","28","","","","","","International","26/8/2022"
"Switzerland","CHE","Pig","Schweizer Piétrain","2020","","","","","","","","","","","","","998","10","","","","","","Local","26/8/2022"
"Chile","CHL","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Chile","CHL","Pig","Hampshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Chile","CHL","Pig","Landrace","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Chile","CHL","Pig","Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Chile","CHL","Pig","PIC","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Chile","CHL","Pig","Pietrain","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Chile","CHL","Pig","Yorkshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Côte d'Ivoire","CIV","Pig","Korhogo","2020","","","","","","","","","","","","","","","","","","","","Regional","16-Sept-2020"
"Côte d'Ivoire","CIV","Pig","locale","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Democratic Republic of the Congo","COD","Pig","Bandundu","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Democratic Republic of the Congo","COD","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Democratic Republic of the Congo","COD","Pig","Kasaï","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Democratic Republic of the Congo","COD","Pig","Landrace","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Democratic Republic of the Congo","COD","Pig","Large Black","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Democratic Republic of the Congo","COD","Pig","Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Democratic Republic of the Congo","COD","Pig","Pietrain","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Congo","COG","Pig","Large White Yorkshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Congo","COG","Pig","porc africain","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Cook Islands","COK","Pig","Berkshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Cook Islands","COK","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Cook Islands","COK","Pig","Landrace","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Cook Islands","COK","Pig","Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Cook Islands","COK","Pig","Local pig","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Cook Islands","COK","Pig","Tamworth","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Costa Rica","CRI","Pig","Cerdo criollo","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Costa Rica","CRI","Pig","Criollo Salvaje","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Costa Rica","CRI","Pig","Dalland","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Costa Rica","CRI","Pig","Duroc","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Costa Rica","CRI","Pig","Landrace","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
