"Country","ISO3","Specie","Breed/Most common name","Language","Description","Transboundary name","Other name","Breed classification (adaptedness)","Breed classification (geographic)","Provision Uses","Regulation and Maintenance Uses","Cultural Uses","Description Of Specific Uses","Production environment/management systems","Literature related to uses and ecosystem services","Additional information","Additional information comments","Efabis cultural role comment","Efabis cultural value","Adaptability to specific environment","Specific resistance or tolerance","Specific reproductive characteristic","Special characteristic of product","Other special qualities","Reference for special qualities","Efabis genetic features","Efabis environmental role","Efabis adaptability to marginal land","Body conformation","Coat description","Coat quality","Comb type","Skin colour","Shank and foot colour","Plumage colour","Pattern within feather","Avian classification","Egg shell colour","Color comments","Efabis main colour","Efabis skin colour","Number of horns males","Number of horns females","Horn shape size and comments","Wither height males","Wither height females","Weight males","Weight females","Other specific visible traits","Herdbook","Herdbook established","Domestication status","Taxonomic classification","Description of origin","Year of origin","Import","Location within country","Eggs per year AVG","Eggs per year MIN","Eggs per year MAX","Egg weight","Wool or hair","Wool type","Fleece weight AVG","Fleece weight MIN","Fleece weight MAX","Fibre diam","Management system","Feeding of adults","Mobility","Milk per year AVG","Milk per year MIN","Milk per year MAX","Lactation length (day) AVG","Lactation length (day) MIN","Lactation length (day) MAX","Milk yield per lactation (kg) AVG","Milk yield per lactation (kg) MIN","Milk yield per lactation (kg) MAX","Milk fat AVG (%)","Milk fat MIN (%)","Milk fat MAX (%)","Milk per day (kg)","Number of lactations","Efabis milk protein AVG","Efabis milk protein MIN","Efabis milk protein MAX","Birth weight males","Birth weight females","Age maturity males","Age maturity females","Age breeding males","Age breeding females","Age first parturition (month) AVG","Age first parturition (month) MIN","Age first parturition (month) MAX","Parturition interval (day) AVG","Parturition interval (day) MIN","Parturition interval (day) MAX","Length productive life (years)","Daily gain","Carcass weight (kg)","Dressing percentage (%)","Performance data reference","Management conditions performance measured","Comments management conditions","Additional performance parameters","Litter size AVG","Litter size MIN","Litter size MAX","Local cryo conservation status","Local Risk","Detailed local risk status","Regional Transboundary Risk (detailed)","International Transboundary Risk (detailed)","A breeding programme is implemented for the breed","Animal identification","Breeding goal defined","Performance recording","Pedigree recording","Genetic evaluation (classic approach)","Genetic evaluation including genomic information","Management of genetic variation","Artificial insemination","Breeding method applied"
"Angola","AGO","Pig","Duroc","fr.","","Duroc","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continually imported","","","Huíla and Namibe province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Angola","AGO","Pig","Ganda","","","","","","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","recently imported; some cross-breeding was done to obtain the Ganda breed I,II and III for industrial production and adapted to the local conditions. However, because of civil unrest these works were suspended and the obtained breeds are now at risk of genetic erosion","","","country-wide and at the Humpata Zoo-technical Station","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","commercial sector","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Angola","AGO","Pig","Jambona Munhanda","","","","","","Local","Meat","","","","","","","","","","","relatively resistant to African swine fever","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","Kunene province, both in rural areas as well as in peri-urban areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","this breed has the capacity to feed on scraps in the outskirts and litter dumps some supplements are given like bran and crop remains","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Angola","AGO","Pig","Landrace","","","Landrace","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continually imported","","","Huíla and Luanda province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Angola","AGO","Pig","Large White","eng.","","Large White","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continually imported","","","Huíla and Luanda province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Angola","AGO","Pig","Porco do Bengo","","","","Suína do Bengo/Luanda, Suíno do Bengo","","Local","Meat","","","","","","","","","","","relatively resistant to African swine fever","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","Luanda and Bengo province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","this breed has the capacity to eat scraps in the outskirts and litter dumps some supplements are given like bran and crop remains","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Angola","AGO","Pig","Porco do Kunene","","","","Suíno do Kunene","","Local","Meat","","","","","","","","","","","relatively resistant to African swine fever","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","Kunene, Huíla and Namibe province, both in rural areas as well as in peri-urban areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","this breed has the capacity to feed on scraps in the outskirts and litter dumps some supplements are given like bran and crop remains","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Albania","ALB","Pig","Comune","alb.","","","Common","Native","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: brown","","","","","","61","53","165","145","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02","0.95","","","","","","","","","","","","","","","","","","","6.4","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Albania","ALB","Pig","Durok","","","Duroc","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","recently imported; exotic","2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Albania","ALB","Pig","Kahyb","","","Kahyb","","","Regional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","First introduced during the last 50 years and continually imported.","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","Unknown","","","","","","","","","","",""
"Albania","ALB","Pig","Landras","","","Landrace","","","International","","","","","","","Large White and Landras are the most commen breeds.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continuously imported; exotic","1950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Albania","ALB","Pig","Large White","eng.","","Large White","","","International","Meat","","","","","","Large White and Landras are the most common breeds.","","","","Adapted to harsh field conditions.","","","","","","","","","","","","","","","","","","","uni coloured: white","","","","","","65","57","240","160","small, erect ears","","","Domestic","Breed","continuously imported","1950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.23","1.18","","","","","","","","","","","","","","","","","","","9.15","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Albania","ALB","Pig","Local pig","","","","","","Local","","","","","","","","","","","","","","","The local pig had the same characteristics as the wild one.","","","","","","","","","","","","","","","","","","","","","","","75","110","small body","","","","Breed","indigenous breed","","","north and at the coastal area from Shkodra to Vlora, especially in the areas under the catholic and orthodox religion.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The information dates from 1993.","6","5","7","No Information","Extinct","Extinct","","","","","","","","","","","",""
"Albania","ALB","Pig","Pietren","","","Pietrain","Pietrain","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","First introduced during the last 50 years and continually imported.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Argentina","ARG","Pig","Cerdo Criollo Costero","Español","","","","Locally adapted","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n","","Feral","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","","No","","","","","","","","",""
"Armenia","ARM","Pig","Armenian meat","","","","","","Local","General crossbreeding","","","Armenian meat pigs are used for the improvement of the breed through crossbreeding.","","","","","","","Well adjusted to local conditions.","","","","Good results were achieved by crossbreeding it with Landras breed. Fifty percent of pigs in Armenia belong to this breed.","","","","","","","","","","","","","","","","","","","","","","","300","250","Long body; well developed lower extremities and strong carcass composition. Length of body of males is 170-180 and that of females is 160-170 cm.","","","Domestic","Breed","developed through crossbreeding","2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","12","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Armenia","ARM","Pig","Big White","","","Large White","","","International","General crossbreeding","","","At the initial stage they were used for the improvement of local pigs' characteristics and later for pure breeding and crossbreeding.","","","","","","","Adjusted to Armenian conditions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Raised in specialized farms, individual farms and collective economies.","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Armenia","ARM","Pig","Duroc","eng.","","Duroc","","","International","General crossbreeding","","","They are often used by collective farms for improvement of local breeds.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Armenia","ARM","Pig","Forest Mountain","eng.","","","New Lesogor, Novaya Lesogornaya, Lesogornaya Porodnaya Gruppa, Forest Mountain","","Local","Meat","","","","","","Data before independence refer to Former USSR.","","","","The animals can survive on pasture. Well adjusted to local conditions.","","","This breed is producing high quality meat.","These hardy animals are known for their strong constitution.","","","","","","","","","","","","","","","uni coloured: white, black, grey","","","","","","","","260","166","long-haired in winter, semi-lop ears","","","Domestic","Breed","composite of Mangalitsa and (Large White x local pigs)","1950's","","mountainous forests (Northeastern regions)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F65-137","","Nine months a year they are kept in forests and three winter months in stationary conditions. This is an extensive breed and causes ecological damages by digging holes under trees roots.","","8.5","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Armenia","ARM","Pig","Landras","","","Landrace","","","International","General crossbreeding","","","They are often used by collective farms for improvement of local breeds.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Armenia","ARM","Pig","Ukrainian","","","Ukrainian","","","Regional","General crossbreeding","","","They are often used by collective farms for improvement of local breeds.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","Unknown","","","","","","","","","","",""
"Armenia","ARM","Pig","Welsh","","","Welsh","Exotic","","International","General crossbreeding","","","They are often used by collective farms for improvement of local breeds.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Endangered","","","","","","","","","",""
"Antigua and Barbuda","ATG","Pig","Duroc","eng.","","Duroc","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Antigua and Barbuda","ATG","Pig","Hampshire","eng.","","Hampshire","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Endangered","","","","","","","","","",""
"Antigua and Barbuda","ATG","Pig","Landrace","eng.","","Landrace","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Antigua and Barbuda","ATG","Pig","Large Black","eng.","","Large Black","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Endangered","","","","","","","","","",""
"Antigua and Barbuda","ATG","Pig","Large White","eng.","","Large White","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Antigua and Barbuda","ATG","Pig","Wild pig","eng.","","Sus scrofa","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wild","Breed","imported; exotic","","","Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Antigua and Barbuda","ATG","Pig","Yorkshire","eng.","","Large White","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Australia","AUS","Pig","Berkshire","eng.","","Berkshire","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Endangered","","Not at Risk","","","","","","","","","",""
"Australia","AUS","Pig","Duroc","eng.","","Duroc","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Endangered","","Not at Risk","","","","","","","","","",""
"Australia","AUS","Pig","Hampshire","eng.","","Hampshire","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Endangered","","Endangered","","","","","","","","","",""
"Australia","AUS","Pig","Landrace","eng.","","Landrace","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Endangered","","Not at Risk","","","","","","","","","",""
"Australia","AUS","Pig","Large Black","eng.","","Large Black","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Critical","","Endangered","","","","","","","","","",""
"Australia","AUS","Pig","Large White","eng.","","Large White","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Endangered","","Not at Risk","","","","","","","","","",""
"Australia","AUS","Pig","Tamworth","eng.","","Tamworth","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Critical","","Vulnerable","","","","","","","","","",""
"Australia","AUS","Pig","Welsh","eng.","","Welsh","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Extinct","Extinct","","Endangered","","","","","","","","","",""
"Australia","AUS","Pig","Wessex Saddleback","eng.","","Wessex Saddleback","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","At Risk","Endangered","","Endangered","","","","","","","","","",""
"Austria","AUT","Pig","Duroc","eng.","","Duroc","","Exotic","International","General crossbreeding, Sire line","","","","","","","","","","","","","","","","100% stress resistant","","","","","","","","","","","","","Solid coloured, no white spots","Light gold to mahagony brown","Dark","","","","","","","","Head of middle length with slightly dished profile, light drooping ears","y","1988","Domestic","Breed","In the 19th century developed in the USA","Middle of the 19th century","Since 1988 100% imported from Denmark","Upper and Lower Austria","","","","","","","","","","","Intensive","Concentrate, Farm-Household By-products","Stationary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","2","12","Not Sufficient","At Risk","Endangered","","Not at Risk","","","","","","","","","",""
"Austria","AUT","Pig","Edelschwein","ger.","","Large White","","Locally adapted","International","Dam line, General crossbreeding, Meat","","","","","","","","","","","","","","100% stress tolerant breed","","","","","","","","","","","","","","","","","","","","","","","","","Light pointed ears carried erect; long straight snout.","y","","Domestic","Breed","Local strains of white pigs with pointed ears crossed with imported Large White from Germany, Switzerland, United Kingdom and Denmark.","","","","","","","","","","","","","","Extensive (non back yard), Intensive","Agro-Industrial By-Products, Concentrate, Farm-Household By-products","Stationary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100% stress tolerant","12","2","17","Not Sufficient","Not at Risk","Not at Risk","","Not at Risk","","","","","","","","","",""
"Austria","AUT","Pig","Landrasse","ger.","","German Landrace","","Locally adapted","International","Dam line, General crossbreeding, Meat","","","","","","","","","","","","","","100% stress tolerant.","","100% stress tolerant","","","","","","","","","","","","","White bristles on white skin","White","Flesh","","","","80","75","300","265","Long body, heavy, drooping ears.","y","","Domestic","Breed","Local strains of lop-eared pigs were crossed with imported German Landrace and Danish Landrace pigs.","Between 1918 and 1935","Since 1950 about 20% Danish and Dutch Landrace.","All over the country","","","","","","","","","","","Intensive","Concentrate, Farm-Household By-products","Nomadic, Stationary","","","","","","","","","","","","","","","","","","1.8","1.8","7","7","","","13","11","14","166","","","2.2","900","110","","Agrarmarkt Austria","Intensive management","","","12","4","18","Not Sufficient","Not at Risk","Not at Risk","","Not at Risk","","","","","","","","","",""
"Austria","AUT","Pig","Mangalitza","ger.","","Mangalitsa","Mangalica","Native","International","Lard, Meat","","","","","","2003: This breed is highly endangered.","","","","","","","Vulcano Ham - a speciality from southern Styria","Very high quality of lard and meat, suited for production of special air-cured ham","","","","Hardy breed, good scavenger.","","","","","","","","","","","No flesh coloured spots tolerated.","Black with white belly (swallow-bellied), red, blond","Black, even under blond hair","","","","","","150","150","Dense, woolly bristles","y","2002","Domestic","Breed","Imported breed from Hungary","","Since 1995 100% imported from Hungary","all over the country","","","","","","","","","","","Extensive (non back yard), Semi Intensive","Farm-Household By-products, Grazing","Stationary","","","","","","","","","","","","","","","","","","","","8","10","18","18","","","","","","","","","","","","","","","7","2","14","Not Sufficient","At Risk","Endangered maintained","","Not at Risk","","","","","","","","","",""
"Austria","AUT","Pig","Pietrain","fr.","","Pietrain","","Locally adapted","International","General crossbreeding, Meat, Sire line","","","","","","","","","","","","","","Very high lean meat content. Rather poor meat quality due to lacking intramuscular fat (below 1%). Used to be highly stress suceptible, now up to 60% stress tolerant animals.","","","","","","","","","","","","","","","","","","","","","","","","","","y","","Domestic","Breed","Imported from Belgium and Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","2","12","Not Sufficient","At Risk","Endangered","","Not at Risk","","","","","","","","","",""
"Austria","AUT","Pig","Schwäbisch-Hällisches Schwein","ger.","","","","Exotic","Local","Dam line, General crossbreeding, Meat","","","100% stress tolerant; good mothering abillity","","","","","","","","","","","","","100% stress tolerant","","","","","","","","","","","","","Head, neck and partly shoulders black, hindquartes black with white tip of the tail. White body parts meet the black areas with a grey seam (white bristles on pigmented skin).","Black; white","Dark under black bristles, flesh under white bristles","","","","","","","","Big framed pig with drooping ears","y","1997","Domestic","Breed","Developed at the end of the 18th century in Wuertthemberg, Germany","1983","100% imported from Germany","All over the country","","","","","","","","","","","Intensive, Semi Intensive","Concentrate, Farm-Household By-products, Grazing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","","","","","","","9.6","2","18","Not Sufficient","At Risk","Critical","","","","","","","","","","","",""
"Austria","AUT","Pig","Turopolje","cro.","","Turopolje","","Native","Regional","Lard, Meat","","Hobby","","","","2003: this breed is highly endangered.","","","","Typical pasture pig.","","","","Very high quality lard and meat, suited for production of special air-cured ham","","","Used to control shrubs in alluvial pastures.","Well adapted to wet land, old-typed pasture pig.","","","","","","","","","","","Pied black and white, red hair is undesirable. No unpigmented skin allowed.","White, black","Grey, even below white hair. The colour fades after slaughter.","","","","","","180","180","Light ears carried upright, broad head with short straight snout.","y","2001","Domestic","Breed","Imported from Croatia","1991","Since 1991 100% imported from Croatia.","All over the country.","","","","","","","","","","","Extensive (non back yard)","Farm-Household By-products, Grazing","Stationary","","","","","","","","","","","","","","","","","","","","8","10","18","18","","","","","","","","","100","","","","","","7","2","14","Not Sufficient","At Risk","Endangered maintained","Endangered","","","","","","","","","","",""
"Austria","AUT","Pig","Weißer Belgier","ger.","","Belgian Landrace","Landrasse B","Exotic","International","","","","","","","since 1997 in the Piétrain herdbook and not regarded as a separate breed any longer.","","","","","","","","","","","","","","","","","","","","","","","Only a few small black spots are tolerated.","White","Flesh","","","","","","","","Very well muscled: Broad shoulders, full hams.","y","","Domestic","Breed","imported from Belgium and Germany, now in the Piétrain herdbook","","","","","","","","","","","","","","","Concentrate","Stationary","","","","","","","","","","","","","","","","","","1.5","1.5","6","7","","","12","10","18","","","","2","600","130","","","","","","9","2","14","No Material","Extinct","Extinct","","Critical","","","","","","","","","",""
"Azerbaijan","AZE","Pig","Ukrainian Steppe White","eng.","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","","","","","","","","","","",""
"Burundi","BDI","Pig","Landrace","","","Landrace","","Exotic","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Burundi","BDI","Pig","Large White","","","","","Exotic","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","","","","","","","","","","",""
"Burundi","BDI","Pig","porc local","Kirundi","","","","Native","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Not at Risk","Not at Risk","","","","","","","","","","","",""
"Belgium","BEL","Pig","Belgisch Landras","dutch","","Belgian Landrace","Belgian Landrace, Landrace Belge","","International","Meat","","","","","","","","","","","","","This breed produces a lean meat.","","","","","","","","","","","","","","","","uni coloured: white","","","","","","110","95","340","320","lop ears","","1920","Domestic","Breed","indigenous breed","","since 1960, 60%","country-wide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Critical","","","","","","","","","",""
"Belgium","BEL","Pig","Belgisch Landras stressbestendig","Dutch","","","","","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Belgium","BEL","Pig","Landrace allemand","fr.","","German Landrace","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Belgium","BEL","Pig","Landrace anglais","fr.","","British Landrace","","","Regional","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","Unknown","","","","","","","","","","",""
"Belgium","BEL","Pig","Landrace finnois","fr.","","Finnish Landrace","","","Regional","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","Unknown","","","","","","","","","","",""
"Belgium","BEL","Pig","Landrace français","fr.","","French Landrace","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Belgium","BEL","Pig","Landrace hollandais","fr.","","Dutch Landrace","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","imported; exotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
