Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other
Brahman,Indicus,India,Meat,Dairy,Draught,—
Brahmousin,Taurus/Indicus hybrid,United States,Meat,—,Draught,—
Brangus,Taurus/Indicus hybrid,United States,Meat,—,—,—
Braunvieh,Taurus,Switzerland,Meat,Dairy,—,—
Brava,—,Spain,—,—,—,—
Bretonne Pie Noir,Taurus,France,Meat,Dairy,—,—
British White,Taurus,Great Britain,Meat,Dairy,—,—
British Friesian,Taurus,Great Britain,—,Dairy,—,—
Brown Carpathian,Taurus,Ukraine,—,—,—,—
Brown Caucasian,Taurus,Armenia,Meat,Dairy,—,—
Brown Swiss,Taurus,Switzerland,—,Dairy,—,—
Bue Lingo,Taurus,United States,Meat,Dairy,—,—
Burlina,Taurus,Italy,—,Dairy,—,—
Buša cattle,Taurus,"former Yugoslavia - Bosnia and Herzegovina, Croatia, Kosovo, Montenegro, North Macedonia, Serbia (Dinaric Alps)",Meat,Dairy,Draught,—
Butana cattle,Indicus,Sudan,—,Dairy,—,—
Bushuyev,Zebu,Uzbekistan,—,Dairy,—,—
Cachena,Taurus,Portugal/Spain,Meat,Dairy,Draught,—
Caldelana,Taurus,Spain,Meat,Dairy,Draught,—
Camargue,Taurus,France,Meat,—,Draught,"Sport, semi-feral"
Campbell Island cattle,Taurus,New Zealand,—,—,—,Feral
Canadian Speckle Park,Taurus,Canada,Meat,—,—,—
Canadienne,Taurus,Canada,Meat,Dairy,—,—
Canaria,Taurus,Spain,Meat,—,Draught,—
Canchim,Taurus/Indicus hybrid,Brazil,Meat,—,—,—
Caracu,Taurus,Brazil,Meat,Dairy,Draught,—
Cárdena Andaluza,Taurus,Spain,Meat,—,Draught,—
Carinthian Blondvieh,Taurus,Austria,Meat,Dairy,Draught,—
Carora,Taurus,Venezuelan,Meat,Dairy,Draught,—
Charbray,Taurus/Indicus hybrid,United States,Meat,—,—,—
Charolais,Taurus,France,Meat,—,Draught,—
Chateaubriand,—,—,—,—,—,—
Chiangus,Taurus,—,Meat,—,—,—
Chianina,Taurus,Italy,Meat,—,Draught,—
Chillingham cattle,Taurus,England,—,—,—,Feral
Chinese Black Pied,Taurus,China,—,Dairy,—,—
Cholistani Cattle,Indicus,Pakistan,—,Dairy,—,—
Cika cattle,Taurus,Slovenia,Meat,Dairy,—,—
Coloursided White Back,Taurus,—,Meat,Dairy,—,—
Commercial,—,—,—,—,—,—
Corriente,Taurus,Spain,Meat,Dairy,Draught,Sport
Corsican cattle,Taurus,France,Meat,—,—,"Often free-ranging, semi-feral"
Costeño con Cuernos,Taurus/Indicus hybrid,Colombia,Meat,—,Draught,—
Crioulo Lageano,—,—,—,—,—,—
Dajal cattle,Indicus,Pakistan,Meat,Dairy,Draught,—
Dangi cattle,Indicus,India,—,—,Draught,—
Danish Black-Pied,—,Denmark,—,—,—,—
Danish Jersey,Taurus,Denmark,—,Dairy,—,—
Danish Red,Taurus,Denmark,Meat,Dairy,—,—
Deep Red cattle,Taurus,—,Meat,Dairy,—,—
Deoni,Indicus,India,—,Dairy,Draught,—
Devon,Taurus,England,Meat,Dairy,—,—
Dexter cattle,Taurus,Ireland,Meat,Dairy,—,—
Dhanni,Indicus,Pakistan,Meat,Dairy,Draught,—
Doayo cattle,Taurus,Cameroon,—,—,—,—
Doela,—,—,—,—,—,—
Drakensberger,Taurus,South Africa,Meat,Dairy,—,—
Dølafe,Taurus,Norway,Meat,Dairy,—,—
Droughtmaster,Taurus/Indicus hybrid,Australia,Meat,—,—,—
Dulong',Taurus,—,Meat,—,Draught,—
Dutch Friesian,Taurus,Netherlands,Meat,Dairy,—,—
Dwarf Lulu,Taurus/Indicus/Yak hybrid,—,—,—,—,—
East Anatolian Red,Taurus,—,—,Dairy,—,—
Eastern Finncattle,Taurus,Finland,Meat,Dairy,—,—
Eastern Red Polled,—,—,—,—,—,—
Enderby Island cattle,Unknown,New Zealand,—,—,—,Feral
English Longhorn,Taurus,England,Meat,Dairy,—,—
Ennstaler Bergscheck,Taurus,Austria,Meat,—,Draught,—
Estonian Holstein,Taurus,Estonia,—,Dairy,—,—
Estonian Native,—,Estonia,—,—,—,—
Estonian Red cattle,Taurus,Estonia,Meat,Dairy,—,—
Évolène cattle,Taurus,Switzerland,—,Dairy,—,—
Finnish Ayrshire,—,Finland,—,—,—,
Finncattle,Taurus,Finland,Meat,Dairy,—,—
Finnish Holstein-Friesian,—,Finland,—,—,—,—
Fjäll,Taurus,Sweden,Meat,Dairy,—,Also called Swedish Mountain
Fleckvieh,Taurus,Austria,Meat,Dairy,—,—
Florida Cracker cattle,Taurus,United States,Meat,—,—,—
Fogera,—,Ethiopia,Meat,Dairy,Draught,—
French Simmental,Taurus,France,Meat,Dairy,—,—
Fribourgeoise,—,Switzerland,—,—,—,—
